LAD_name,Investment_Potential_Score,Top1_Feature,Top1_Dir,Top1_SignedSHAP,Top2_Feature,Top2_Dir,Top2_SignedSHAP,Top3_Feature,Top3_Dir,Top3_SignedSHAP
Erewash,15.09319874473898,%=CQC RequiresImprovement,↑,6.584796337015984,House=Price Growth %,↑,3.273321034369912,%=CQC Good,↓,-0.4075469995979311
Exeter,9.239688381375345,%=CQC RequiresImprovement,↓,-7.686973929547983,House=Price Growth %,↓,-2.081395141126216,%=CQC Good,↓,-1.048997760604792
Fareham,16.80003006267831,%=CQC RequiresImprovement,↑,4.112589762338967,House=Price Growth %,↑,3.0159800699612167,%=CQC Good,↓,-0.7761775785332876
Fenland,11.998298409193556,%=CQC RequiresImprovement,↓,-3.278600540580162,House=Price Growth %,↓,-1.0205099651536669,Percent=65plus,↑,0.8542001042935895
Folkestone And Hythe,,House=Price Growth %,↓,-3.876165375659178,%=CQC RequiresImprovement,↓,-3.144393134393624,Percent=65plus,↑,1.127454037806679
Forest Of Dean,,House=Price Growth %,↑,5.872332292864201,%=CQC RequiresImprovement,↓,-5.410240864820192,%=CQC Good,↓,-1.227548299307285
Fylde,13.468669076056235,%=CQC RequiresImprovement,↑,4.113611261846013,House=Price Growth %,↓,-1.0980082785288352,Percent=65plus,↑,1.0367918507500962
Gateshead,8.451571338607376,House=Price Growth %,↓,-3.474409390925063,%=CQC RequiresImprovement,↓,-3.462136922495772,Percent=65plus,↑,0.2525602838318908
Gedling,17.02558300445491,%=CQC RequiresImprovement,↓,-4.898621011301093,House=Price Growth %,↑,4.061159873292013,%=CQC Good,↓,-1.0490359147554635
Gloucester,14.232014058836686,%=CQC RequiresImprovement,↓,-5.521687395233069,House=Price Growth %,↑,3.4933889531087807,%=CQC Outstanding,↓,-0.740678712515318
Gosport,12.529921809357283,%=CQC RequiresImprovement,↓,-1.1867903223349212,%=CQC Good,↓,-0.9514356252309668,Percent=65plus,↑,0.515265284676087
Gravesham,16.904660164759857,%=CQC RequiresImprovement,↑,12.2518908839215,House=Price Growth %,↑,6.885739473003738,%=CQC Good,↑,6.292390037590409
Great Yarmouth,16.576719554901345,%=CQC RequiresImprovement,↑,10.474952742369224,House=Price Growth %,↑,5.155508176028359,%=CQC Good,↑,3.656678955695954
Greenwich,5.429631571439568,House=Price Growth %,↓,-10.221765370325892,%=CQC RequiresImprovement,↓,-5.005516127788727,Percent=65plus,↓,-1.3541281377515546
Guildford,11.098009062718909,%=CQC RequiresImprovement,↑,4.474845925370264,House=Price Growth %,↓,-2.005711138345397,%=CQC Good,↓,-0.5732905418303084
Hackney,5.836385925489432,House=Price Growth %,↓,-8.246379186999926,%=CQC RequiresImprovement,↓,-4.572751486407594,Percent=65plus,↓,-1.5120101199243297
Halton,20.7611113689718,%=CQC RequiresImprovement,↑,8.255930358831328,House=Price Growth %,↑,6.27676388970081,%=CQC Good,↑,2.070880647442571
Hammersmith And Fulham,,%=CQC RequiresImprovement,↓,-8.16169739995001,House=Price Growth %,↓,-3.71838886627602,%=CQC Good,↓,-1.895556131528611
Harborough,3.6105241947054063,House=Price Growth %,↓,-7.845099798646143,%=CQC RequiresImprovement,↑,4.868613630251109,%=CQC Good,↓,-1.3950778312048653
