District,ROI (%),ROI_Group,2020,2021,2022,2023,2024
HARROGATE,27.48,Top ROI,438361.74,481208.44,550729.75,558806.76,
HARROW,13.32,Mid ROI,725868.37,916234.4,789228.48,801480.26,822528.09
HART,4.49,Mid ROI,634239.45,647970.19,763600.85,669038.47,662694.49
HARTLEPOOL,14.48,Mid ROI,210819.17,217439.46,232023.38,248083.49,241341.36
HASTINGS,24.45,Top ROI,333879.04,390094.09,497317.71,422110.21,415526.64
HAVANT,10.4,Mid ROI,408659.5,444905.73,483170.63,459252.75,451146.17
HAVERING,5.77,Mid ROI,539905.77,578850.76,754689.17,603685.81,571044.26
HEREFORDSHIRE,25.45,Top ROI,345016.97,403054.96,421248.86,476835.77,432808.81
HERTSMERE,-2.46,Low ROI,991067.06,836869.44,1014127.27,1021486.97,966665.54
HIGH PEAK,14.73,Mid ROI,303202.79,314647.43,349343.28,370296.17,347878.38
HILLINGDON,-10.76,Low ROI,776724.01,864805.3,1195834.02,968557.01,693134.32
HINCKLEY AND BOSWORTH,-16.19,Low ROI,387699.75,381526.95,349984.73,366883.85,324943.12
HORSHAM,5.77,Mid ROI,604235.71,636936.78,701629.85,684824.31,639126.54
HOUNSLOW,-22.15,Low ROI,1149905.34,1254451.24,1247255.6,1194723.68,895160.3
HUNTINGDONSHIRE,3.45,Low ROI,409202.53,415461.43,495447.1,426256.44,423316.26
HYNDBURN,13.33,Mid ROI,194751.1,232394.69,261806.7,222223.26,220712.13
IPSWICH,-6.25,Low ROI,383317.01,367145.79,418113.04,337608.22,359369.72
ISLE OF ANGLESEY,19.85,Mid ROI,254579.42,286197.62,328593.04,377104.9,305114.1
ISLE OF WIGHT,20.27,Mid ROI,321177.88,352411.47,380202.58,396605.32,386281.05
ISLES OF SCILLY,30.51,Top ROI,486832.14,373500.0,415555.56,431607.14,635375.0
ISLINGTON,-57.68,Low ROI,6050136.94,5985079.39,3344133.77,3669027.35,2560465.48
KENSINGTON AND CHELSEA,5.46,Mid ROI,4406527.27,5123732.9,6286389.36,6267675.07,4647201.63
KETTERING,-0.04,Low ROI,322828.0,322702.27,,,
KING'S LYNN AND WEST NORFOLK,-0.91,Low ROI,357115.4,347310.32,383566.51,383132.4,353864.53
KINGSTON UPON THAMES,-8.56,Low ROI,996398.62,891363.37,1086966.36,1066010.77,911087.35
KIRKLEES,-2.48,Low ROI,312637.82,290580.02,297924.56,314354.87,304886.9
KNOWSLEY,47.31,Top ROI,200672.31,262580.42,240769.18,268036.53,295610.37
LAMBETH,-19.15,Low ROI,1685009.23,1449951.01,1357746.69,1191724.42,1362387.52
LANCASTER,15.86,Mid ROI,250030.35,270875.57,286727.96,318861.48,289677.97
LEEDS,2.83,Low ROI,355583.23,390517.01,405113.45,438003.57,365646.05
LEICESTER,5.6,Mid ROI,371826.1,334800.74,358321.05,495439.83,392635.01
LEWES,11.08,Mid ROI,466211.63,526659.33,583276.28,595671.74,517852.35
LEWISHAM,-1.05,Low ROI,843498.33,1107686.34,1126061.49,806753.13,834629.11
LICHFIELD,-21.06,Low ROI,511199.17,421159.5,469981.69,470531.8,403547.1
LINCOLN,20.31,Mid ROI,243430.88,322362.89,293745.87,360632.91,292871.42
LIVERPOOL,8.1,Mid ROI,366115.16,354718.85,338560.62,468713.2,395759.7
LUTON,9.57,Mid ROI,376269.03,413581.27,426015.64,430626.83,412278.6
MAIDSTONE,-22.81,Low ROI,617520.42,608400.8,576937.95,481576.52,476667.26
MALDON,10.16,Mid ROI,429687.91,482805.83,494841.12,463867.89,473359.12
MALVERN HILLS,15.6,Mid ROI,373105.49,405989.48,475333.02,449292.45,431311.45
MANCHESTER,8.29,Mid ROI,449374.52,682145.08,589620.76,640075.69,486633.15
MANSFIELD,12.38,Mid ROI,227197.76,219286.95,249811.06,243509.98,255329.61
MEDWAY,-13.12,Low ROI,471013.94,405051.29,422113.47,448171.85,409224.43
MELTON,-25.53,Low ROI,471295.16,366130.52,376416.34,350403.53,350980.18
MENDIP,30.38,Top ROI,413567.92,447452.89,486864.41,539195.89,
MERTHYR TYDFIL,20.82,Mid ROI,197012.6,260572.77,232389.62,231538.76,238039.43
MERTON,12.02,Mid ROI,1209728.61,1595965.95,1774328.73,1352906.8,1355090.38
MID DEVON,12.04,Mid ROI,373833.57,400785.01,470063.07,440233.46,418829.55
MID SUFFOLK,19.93,Mid ROI,350525.45,403984.2,497731.35,537462.41,420386.18
MID SUSSEX,10.72,Mid ROI,581854.45,604095.8,672687.55,646199.06,644243.15
MIDDLESBROUGH,-12.69,Low ROI,234014.4,245607.61,212430.67,205886.68,204325.39
MILTON KEYNES,8.73,Mid ROI,493828.74,577195.73,775252.35,521921.87,536933.28
MOLE VALLEY,4.61,Mid ROI,779505.13,828436.32,863018.58,896081.64,815450.02
MONMOUTHSHIRE,-5.92,Low ROI,449122.48,410777.9,429273.17,420925.38,422532.06
NEATH PORT TALBOT,34.8,Top ROI,164571.48,187037.49,204599.23,203849.6,221836.77
NEW FOREST,7.92,Mid ROI,552580.78,563211.14,648923.92,652062.05,596320.33
NEWARK AND SHERWOOD,15.52,Mid ROI,274074.29,293198.09,312069.13,315671.0,316611.15
NEWCASTLE UPON TYNE,-13.73,Low ROI,428350.38,341082.35,386568.94,407189.84,369546.33
NEWCASTLE-UNDER-LYME,15.51,Mid ROI,232092.25,287671.92,289720.38,272075.57,268086.24
NEWHAM,-83.66,Low ROI,3885090.79,2837940.42,2918400.6,1525894.03,634801.22
NEWPORT,21.56,Mid ROI,292800.6,321227.29,324824.24,317998.04,355941.45
NORTH DEVON,26.82,Top ROI,349966.94,420109.17,447873.0,468783.11,443836.25
NORTH EAST DERBYSHIRE,7.19,Mid ROI,271110.81,304655.59,309399.63,294778.57,290611.39
NORTH EAST LINCOLNSHIRE,6.92,Mid ROI,201664.62,209975.76,240257.51,233103.46,215621.03
NORTH HERTFORDSHIRE,4.52,Mid ROI,594897.22,684839.09,665143.76,667680.04,621808.82
NORTH KESTEVEN,7.12,Mid ROI,263159.72,289123.03,299742.73,303487.55,281884.5
NORTH LINCOLNSHIRE,8.19,Mid ROI,201898.15,214045.45,221342.98,225106.33,218431.44
NORTH NORFOLK,18.47,Mid ROI,355425.7,395653.85,441141.71,420512.66,421058.58
NORTH NORTHAMPTONSHIRE,-26.72,Low ROI,476693.09,372054.87,493239.42,393062.49,349316.23
NORTH SOMERSET,9.64,Mid ROI,400328.44,417110.46,456461.94,475167.37,438922.03
NORTH TYNESIDE,2.83,Low ROI,277532.0,277523.04,313428.66,318169.25,285396.49
NORTH WARWICKSHIRE,1.33,Low ROI,350514.97,420508.61,451279.73,418687.19,355190.26
NORTH WEST LEICESTERSHIRE,12.56,Mid ROI,345859.54,472462.48,403803.21,571767.61,389314.73
NORTH YORKSHIRE,-6.5,Low ROI,431070.34,451564.11,404804.13,412892.7,403069.1
NORTHAMPTON,-11.02,Low ROI,362381.49,322429.62,,,
NORTHUMBERLAND,4.78,Mid ROI,308713.97,302293.3,310263.54,336547.12,323465.44
NORWICH,-5.31,Low ROI,397486.56,417944.58,501305.05,388844.6,376371.51
NUNEATON AND BEDWORTH,6.03,Mid ROI,282410.3,328925.23,330846.34,293664.52,299452.3
OADBY AND WIGSTON,5.39,Mid ROI,324865.82,320563.28,349919.55,368795.02,342383.89
OLDHAM,27.92,Top ROI,232226.98,286519.56,271552.78,349351.78,297074.67
OXFORD,-23.48,Low ROI,1151975.33,992337.84,1509593.95,1110520.02,881440.78
PEMBROKESHIRE,27.01,Top ROI,243791.48,285234.28,326637.42,315209.4,309632.56
PENDLE,24.85,Top ROI,223012.11,270605.49,275905.49,280796.2,278431.82
PORTSMOUTH,-10.12,Low ROI,695648.71,426510.04,504254.02,456182.62,625267.35
POWYS,19.57,Mid ROI,267288.05,303188.1,374948.74,328404.92,319595.47
PRESTON,4.32,Low ROI,273256.67,353224.23,291109.76,334956.19,285067.88
READING,15.25,Mid ROI,609304.7,672094.62,973347.33,683268.32,702239.9
REDBRIDGE,15.64,Mid ROI,713094.16,718412.68,766043.06,805238.51,824594.73
REDCAR AND CLEVELAND,14.29,Mid ROI,181649.89,199535.88,203331.35,207668.15,207603.91
REDDITCH,36.68,Top ROI,313071.38,334082.11,336186.16,351711.44,427918.51
REIGATE AND BANSTEAD,-10.19,Low ROI,841485.42,713931.35,796324.74,830149.72,755753.91
RHONDDA CYNON TAFF,25.81,Top ROI,195960.63,222411.14,242518.47,259169.58,246543.39
RIBBLE VALLEY,17.71,Mid ROI,336017.52,389366.43,395604.22,424752.68,395514.56
RICHMOND UPON THAMES,6.99,Mid ROI,1320547.61,1489791.76,1499855.86,1673158.88,1412883.07
RICHMONDSHIRE,9.06,Mid ROI,303425.8,356456.37,394526.02,330916.67,
ROCHDALE,34.51,Top ROI,219089.4,357801.46,272283.56,291671.79,294706.54
